Year,Month,Line,DayType,Riders,Shakeup,Provider,Mode,Days
2022,8,665,DX,299,202206,DO,Bus,23
2021,3,234,DX,3051,202012,DO,Bus,23
2020,7,115,DX,6478,202006,DO,Bus,23
2017,8,804,DX,54036,201706,DO,Rail,23
2021,3,211,DX,203,202012,DO,Bus,23
2016,3,30,DX,13965,201601,DO,Bus,23
2012,8,901,DX,27513,201206,DO,Bus,23
2016,8,115,DX,14815,201606,DO,Bus,23
2010,3,611,DX,2428,200912,DO,Bus,23
2019,10,260,DX,10183,201906,DO,Bus,23
2010,3,292,DX,2270,200912,DO,Bus,23
2016,8,222,DX,1599,201606,DO,Bus,23
2010,3,920,DX,2845,200912,DO,Bus,23
2018,10,236,DX,1756,201806,DO,Bus,23
2020,7,268,DX,578,202006,DO,Bus,23
2017,3,757,DX,12814,201612,DO,Bus,23
2017,8,105,DX,10558,201706,DO,Bus,23
2015,7,183,DX,2208,201506,DO,Bus,23
2018,10,202,DX,248,201806,DO,Bus,23
2023,8,14,DX,11015,202306,DO,Bus,23
2017,8,237,DX,2038,201706,DO,Bus,23
2018,10,704,DX,10612,201806,DO,Bus,23
2023,3,660,DX,677,202212,DO,Bus,23
2012,10,290,DX,1164,201206,DO,Bus,23
2023,8,18,DX,20228,202306,DO,Bus,23
2023,8,90,DX,5385,202306,DO,Bus,23
2022,8,155,DX,1009,202206,DO,Bus,23
2022,3,344,DX,1005,202202,DO,Bus,23
2018,8,60,DX,13611,201806,DO,Bus,23
2016,3,665,DX,720,201601,DO,Bus,23
2012,10,611,DX,2001,201206,DO,Bus,23
2023,3,55,DX,6504,202212,DO,Bus,23
2010,3,762,DX,5827,200912,DO,Bus,23
2017,3,292,DX,2163,201612,DO,Bus,23
2023,3,51,DX,16238,202212,DO,Bus,23
2013,10,51,DX,30264,201306,DO,Bus,23
2015,7,127,DX,711,201506,DO,Bus,23
2009,7,152,DX,12378,200906,DO,Bus,23
2018,10,260,DX,10642,201806,DO,Bus,23
2017,3,117,DX,8905,201612,DO,Bus,23
2011,3,165,DX,9504,201012,DO,Bus,23
2011,3,218,DX,1254.30434782609,201012,PT,Bus,23
2014,10,130,DX,4058,201406,PT,Bus,23
2010,3,794,DX,5458,200912,DO,Bus,23
2013,10,704,DX,11307,201306,DO,Bus,23
2017,3,236,DX,1770,201612,DO,Bus,23
2022,3,62,DX,2434,202202,DO,Bus,23
2009,7,16,DX,26511,200906,DO,Bus,23
2010,3,711,DX,5054,200912,DO,Bus,23
2012,8,625,DX,249.434782608696,201206,PT,Bus,23
2017,8,266,DX,4798,201706,PT,Bus,23
2011,8,770,DX,8554,201106,DO,Bus,23
2022,3,605,DX,2139,202202,PT,Bus,23
2011,8,71,DX,1670,201106,DO,Bus,23
2017,8,344,DX,1519,201706,DO,Bus,23
2019,10,665,DX,819,201906,DO,Bus,23
2022,3,577,DX,616,202202,PT,Bus,23
2021,3,212,DX,5438,202012,DO,Bus,23
2011,8,734,DX,2998,201106,DO,Bus,23
2022,3,601,DX,344,202202,DO,Bus,23
2011,3,757,DX,10945,201012,DO,Bus,23
2012,8,757,DX,13486,201206,DO,Bus,23
2016,8,251,DX,8468,201606,DO,Bus,23
2016,8,237,DX,1964,201606,DO,Bus,23
2014,10,733,DX,11817,201406,DO,Bus,23
2012,10,190,DX,9349,201206,DO,Bus,23
2017,8,18,DX,18576,201706,DO,Bus,23
2009,7,645,DX,407,200906,DO,Bus,23
2020,7,176,DX,634,202006,DO,Bus,23
2017,8,10,DX,12057,201706,DO,Bus,23
2016,8,167,DX,2269,201606,PT,Bus,23
2012,8,710,DX,7605,201206,DO,Bus,23
2017,8,94,DX,4718,201706,DO,Bus,23
2013,10,258,DX,2176,201306,DO,Bus,23
2016,8,803,DX,36698,201606,DO,Rail,23
2009,7,804,DX,21064.752,200906,DO,Rail,23
2011,3,460,DX,4350,201012,DO,Bus,23
2013,10,232,DX,7408,201306,PT,Bus,23
2017,8,90,DX,7191,201706,DO,Bus,23
