Year,Month,Line,DayType,Riders,Shakeup,Provider,Mode,Days
2010,11,902,DX,4193,201006,DO,Bus,21
2013,3,254,DX,819.52380952381,201212,PT,Bus,21
2017,1,10,DX,10961,201612,DO,Bus,21
2010,10,176,DX,925,201006,DO,Bus,21
2016,5,35,DX,9715,201601,DO,Bus,21
2021,11,70,DX,14789,202109,DO,Bus,21
2022,9,550,DX,677,202206,DO,Bus,21
2011,4,256,DX,1591.42857142857,201012,PT,Bus,21
2016,2,744,DX,10071,201601,DO,Bus,21
2013,3,803,DX,44133.021,201212,DO,Rail,21
2017,11,740,DX,2679,201706,DO,Bus,21
2014,8,740,DX,3210,201406,DO,Bus,21
2018,7,83,DX,2387,201806,DO,Bus,21
2014,5,733,DX,12753,201312,DO,Bus,21
2015,9,803,DX,39508.1474834141,201506,DO,Rail,21
2016,2,94,DX,5019,201601,DO,Bus,21
2016,4,204,DX,22199,201601,DO,Bus,21
2009,1,780,DX,10059,200812,DO,Bus,21
2016,10,206,DX,12579,201606,DO,Bus,21
2017,1,762,DX,3220,201612,DO,Bus,21
2011,9,607,DX,49.6190476190476,201106,PT,Bus,21
2009,8,236,DX,2309,200906,DO,Bus,21
2021,7,2,DX,7520,202106,DO,Bus,21
2020,9,55,DX,3752,202006,DO,Bus,21
2022,4,294,DX,1287,202202,DO,Bus,21
2009,8,705,DX,7666,200906,DO,Bus,21
2012,7,600,DX,83,201206,DO,Bus,21
2024,3,16,DX,20426,202312,DO,Bus,21
2020,8,534,DX,878,202006,DO,Bus,21
2014,8,234,DX,5952,201406,DO,Bus,21
2016,11,211,DX,685,201606,DO,Bus,21
2016,4,740,DX,2798,201601,DO,Bus,21
2023,11,202,DX,225,202306,DO,Bus,21
2011,5,258,DX,1752,201012,DO,Bus,21
2015,9,267,DX,3979,201506,DO,Bus,21
2021,7,106,DX,1968,202106,DO,Bus,21
2011,10,176,DX,1956,201106,DO,Bus,21
2017,1,607,DX,62,201612,PT,Bus,21
2014,5,625,DX,330,201312,PT,Bus,21
2009,1,167,DX,1618.90476190476,200812,PT,Bus,21
2022,9,217,DX,7784,202206,DO,Bus,21
2017,11,236,DX,1674,201706,DO,Bus,21
2010,10,305,DX,2890,201006,DO,Bus,21
2016,2,230,DX,4638,201601,DO,Bus,21
2009,9,754,DX,22692,200906,DO,Bus,21
2016,2,175,DX,973,201601,DO,Bus,21
2016,5,217,DX,7002,201601,DO,Bus,21
2014,5,53,DX,15217,201312,DO,Bus,21
2012,11,728,DX,6009,201206,DO,Bus,21
2014,8,70,DX,11991,201406,DO,Bus,21
2011,9,260,DX,12958,201106,DO,Bus,21
2010,9,685,DX,695,201006,DO,Bus,21
2022,5,110,DX,6306,202202,DO,Bus,21
2016,2,163,DX,9777,201601,DO,Bus,21
2013,3,125,DX,5297.38095238095,201212,PT,Bus,21
2012,4,268,DX,2221,201106,DO,Bus,21
2018,7,177,DX,443,201806,PT,Bus,21
2022,9,802,DX,76306,202206,DO,Rail,21
2010,7,762,DX,4954,201006,DO,Bus,21
2014,9,166,DX,6987,201406,DO,Bus,21
2017,1,265,DX,1293,201612,DO,Bus,21
2016,5,605,DX,2465,201601,PT,Bus,21
2012,4,55,DX,9705,201106,DO,Bus,21
2011,5,120,DX,4694,201012,DO,Bus,21
2022,11,857,DX,420,202210,DO,Bus,21
2011,5,206,DX,14195,201012,DO,Bus,21
2011,4,125,DX,4676.09523809524,201012,PT,Bus,21
2012,11,78,DX,12053,201206,DO,Bus,21
2020,9,251,DX,5584,202006,DO,Bus,21
2021,10,76,DX,5432,202109,DO,Bus,21
2014,9,30,DX,15923,201406,DO,Bus,21
2022,4,217,DX,6834,202202,DO,Bus,21
2021,10,854,DX,1266,202109,DO,Bus,21
2010,7,40,DX,17551,201006,DO,Bus,21
2010,9,267,DX,3862,201006,DO,Bus,21
2015,8,18,DX,20817,201506,DO,Bus,21
2021,11,2,DX,8428,202109,DO,Bus,21
2022,4,106,DX,3446,202202,DO,Bus,21
2014,8,164,DX,7072,201406,DO,Bus,21
2014,5,30,DX,16962,201312,DO,Bus,21
2012,1,760,DX,6549,201106,DO,Bus,21
2016,10,734,DX,6430,201606,DO,Bus,21
2016,4,211,DX,743,201601,DO,Bus,21
2018,11,62,DX,4132,201806,DO,Bus,21
2016,9,183,DX,2134,201606,DO,Bus,21
2024,2,62,DX,2847,202312,DO,Bus,21
2009,1,207,DX,27036,200812,DO,Bus,21
2012,1,20,DX,16480,201106,DO,Bus,21
2010,10,38,DX,5887,201006,DO,Bus,21
2021,10,102,DX,1764,202109,DO,Bus,21
2011,11,745,DX,7172,201106,DO,Bus,21
2012,2,236,DX,2686,201106,DO,Bus,21
2020,8,161,DX,497,202006,DO,Bus,21
2009,8,156,DX,2222,200906,DO,Bus,21
2015,1,154,DX,1052,201412,DO,Bus,21
2021,11,180,DX,8474,202109,DO,Bus,21
2018,7,245,DX,2033,201806,DO,Bus,21
2022,1,802,DX,75688,202112,DO,Rail,21
2010,9,90,DX,6579,201006,DO,Bus,21
2014,5,156,DX,1866,201312,DO,Bus,21
2012,2,169,DX,2575,201106,DO,Bus,21
2014,8,155,DX,1995,201406,DO,Bus,21
2009,9,152,DX,13754,200906,DO,Bus,21
2010,10,205,DX,3953.85714285714,201006,PT,Bus,21
2023,11,158,DX,1313,202306,DO,Bus,21
2016,4,770,DX,7623,201601,DO,Bus,21
2012,2,740,DX,8044,201106,DO,Bus,21
2022,1,487,DX,772,202112,DO,Bus,21
2018,7,20,DX,12608,201806,DO,Bus,21
2011,10,450,DX,1567,201106,DO,Bus,21
2024,2,294,DX,1226,202312,DO,Bus,21
2023,11,40,DX,13841,202306,DO,Bus,21
2018,11,218,DX,918,201806,PT,Bus,21
2010,7,252,DX,2722,201006,DO,Bus,21
2012,7,167,DX,1696.09523809524,201206,PT,Bus,21
2015,9,201,DX,1233,201506,DO,Bus,21
2015,9,4,DX,18376,201506,DO,Bus,21
2024,2,66,DX,11821,202312,DO,Bus,21
2016,4,802,DX,139663.010556835,201601,DO,Rail,21
2014,9,200,DX,14475,201406,DO,Bus,21
2009,1,110,DX,9802,200812,DO,Bus,21
2018,11,71,DX,1583,201806,DO,Bus,21
2010,11,115,DX,12987,201006,DO,Bus,21
2012,11,94,DX,6142,201206,DO,Bus,21
2015,8,167,DX,2416,201506,PT,Bus,21
2019,3,740,DX,2332,201812,DO,Bus,21
2020,8,217,DX,2368,202006,DO,Bus,21
2011,11,166,DX,7127,201106,DO,Bus,21
2012,1,605,DX,2476.14285714286,201106,PT,Bus,21
2017,11,804,DX,52589,201706,DO,Rail,21
2024,3,662,DX,2120,202312,DO,Bus,21
2017,1,165,DX,7013,201612,DO,Bus,21
2015,8,158,DX,2244,201506,DO,Bus,21
2018,11,165,DX,7613,201806,DO,Bus,21
2017,11,751,DX,4837,201706,DO,Bus,21
2011,1,254,DX,682.285714285714,201012,PT,Bus,21
2009,9,16,DX,27332,200906,DO,Bus,21
2017,11,750,DX,2737,201706,DO,Bus,21
2023,1,807,DX,2896,202212,DO,Rail,21
2016,2,804,DX,47930.5580347613,201601,DO,Rail,21
2019,3,246,DX,2498,201812,DO,Bus,21
2020,9,602,DX,417,202006,DO,Bus,21
2010,9,217,DX,9776,201006,DO,Bus,21
2020,8,165,DX,3053,202006,DO,Bus,21
2012,1,901,DX,23050,201106,DO,Bus,21
2011,11,705,DX,8208,201106,DO,Bus,21
2009,9,14,DX,18158,200906,DO,Bus,21
2014,9,117,DX,10162,201406,DO,Bus,21
2011,9,254,DX,836.333333333333,201106,PT,Bus,21
2024,2,487,DX,1309,202312,DO,Bus,21
2016,10,217,DX,6411,201606,DO,Bus,21
2011,11,611,DX,1827,201106,DO,Bus,21
2011,11,550,DX,3190,201106,DO,Bus,21
2016,2,4,DX,16194,201601,DO,Bus,21
2021,10,66,DX,11967,202109,DO,Bus,21
2017,11,60,DX,13878,201706,DO,Bus,21
2010,10,254,DX,762.571428571429,201006,PT,Bus,21
2009,9,202,DX,389,200906,DO,Bus,21
2010,7,128,DX,956.666666666667,201006,PT,Bus,21
2022,5,251,DX,12802,202202,DO,Bus,21
2012,7,210,DX,14772,201206,DO,Bus,21
2012,1,234,DX,6155,201106,DO,Bus,21
2019,3,83,DX,2416,201812,DO,Bus,21
2022,1,901,DX,10359,202112,DO,Bus,21
2012,4,60,DX,20072,201106,DO,Bus,21
2012,7,111,DX,18202,201206,DO,Bus,21
2023,1,96,DX,517,202212,PT,Bus,21
2012,4,35,DX,12690,201106,DO,Bus,21
2014,3,94,DX,6091,201312,DO,Bus,21
2020,8,757,DX,5649,202006,DO,Bus,21
2010,11,10,DX,12616,201006,DO,Bus,21
2010,7,92,DX,5783,201006,DO,Bus,21
2018,11,487,DX,3437,201806,DO,Bus,21
2012,7,704,DX,10615,201206,DO,Bus,21
2020,9,53,DX,6612,202006,DO,Bus,21
2010,9,260,DX,12951,201006,DO,Bus,21
2010,9,445,DX,1226,201006,DO,Bus,21
2012,4,169,DX,2578,201106,DO,Bus,21
2021,11,460,DX,3596,202109,DO,Bus,21
2011,1,603,DX,6510.7619047619,201012,PT,Bus,21
2022,11,20,DX,6530,202210,DO,Bus,21
2016,11,202,DX,227,201606,DO,Bus,21
2014,9,710,DX,9264,201406,DO,Bus,21
2015,1,202,DX,310,201412,DO,Bus,21
2011,1,167,DX,1874.28571428571,201012,PT,Bus,21
2010,10,439,DX,1105,201006,DO,Bus,21
2012,2,66,DX,19232,201106,DO,Bus,21
2016,4,607,DX,84,201601,PT,Bus,21
2021,7,182,DX,1228,202106,DO,Bus,21
2016,9,292,DX,2402,201606,DO,Bus,21
2022,9,105,DX,14177,202206,DO,Bus,21
2015,9,910,DX,14763,201506,DO,Bus,21
2020,9,202,DX,161,202006,DO,Bus,21
2022,5,901,DX,13062,202202,DO,Bus,21
2016,10,60,DX,15090,201606,DO,Bus,21
2016,2,10,DX,13150,201601,DO,Bus,21
2018,11,177,DX,425,201806,PT,Bus,21
2011,4,603,DX,6824.71428571429,201012,PT,Bus,21
2011,10,236,DX,2755,201106,DO,Bus,21
2016,10,108,DX,16291,201606,DO,Bus,21
2011,11,30,DX,12868,201106,DO,Bus,21
2021,10,78,DX,7066,202109,DO,Bus,21
2013,3,246,DX,2994,201212,DO,Bus,21
2010,11,81,DX,16691,201006,DO,Bus,21
2011,10,260,DX,12788,201106,DO,Bus,21
2010,9,757,DX,11439,201006,DO,Bus,21
2022,9,165,DX,7198,202206,DO,Bus,21
2009,9,794,DX,6432,200906,DO,Bus,21
2015,1,234,DX,5428,201412,DO,Bus,21
2015,9,460,DX,5312,201506,DO,Bus,21
2022,9,211,DX,391,202206,DO,Bus,21
2022,1,803,DX,14605,202112,DO,Rail,21
2020,8,51,DX,15152,202006,DO,Bus,21
2011,1,801,DX,79708.8,201012,DO,Rail,21
2011,1,26,DX,28274,201012,DO,Bus,21
2016,9,209,DX,1042,201606,DO,Bus,21
2022,4,166,DX,4455,202202,DO,Bus,21
2020,8,154,DX,414,202006,DO,Bus,21
2021,10,96,DX,579,202109,PT,Bus,21
2023,11,803,DX,20494,202306,DO,Rail,21
2022,11,242,DX,1399,202210,DO,Bus,21
2012,11,292,DX,2393,201206,DO,Bus,21
2014,5,267,DX,3694,201312,DO,Bus,21
2016,4,733,DX,11729,201601,DO,Bus,21
2009,8,102,DX,1925,200906,DO,Bus,21
2011,11,150,DX,11524,201106,DO,Bus,21
2015,1,794,DX,5178,201412,DO,Bus,21
2022,11,161,DX,724,202210,DO,Bus,21
2015,1,209,DX,1035,201412,DO,Bus,21
2012,7,207,DX,21491,201206,DO,Bus,21
2018,7,265,DX,1256,201806,DO,Bus,21
2024,2,120,DX,2784,202312,DO,Bus,21
2013,3,154,DX,1255,201212,DO,Bus,21
2021,7,211,DX,249,202106,DO,Bus,21
2012,2,126,DX,250,201106,DO,Bus,21
2019,3,154,DX,781,201812,DO,Bus,21
2011,1,439,DX,458,201012,DO,Bus,21
2020,9,704,DX,4423,202006,DO,Bus,21
2022,11,155,DX,932,202210,DO,Bus,21
2012,2,251,DX,8746,201106,DO,Bus,21
2010,11,71,DX,1667,201006,DO,Bus,21
2015,9,68,DX,6401,201506,DO,Bus,21
2014,3,256,DX,1978,201312,PT,Bus,21
2017,1,234,DX,4596,201612,DO,Bus,21
2010,10,902,DX,4405,201006,DO,Bus,21
2009,8,20,DX,17550,200906,DO,Bus,21
2019,3,734,DX,5970,201812,DO,Bus,21
2011,11,734,DX,3464,201106,DO,Bus,21
2014,3,751,DX,5701,201312,DO,Bus,21
2009,1,78,DX,11761,200812,DO,Bus,21
2022,11,754,DX,11243,202210,DO,Bus,21
2022,1,165,DX,4928,202112,DO,Bus,21
2011,12,20,DX,15689,201106,DO,Bus,21
2010,7,753,DX,2877,201006,DO,Bus,21
2009,9,45,DX,21751,200906,DO,Bus,21
2012,2,70,DX,12733,201106,DO,Bus,21
2018,7,232,DX,4952,201806,PT,Bus,21
2018,11,150,DX,8325,201806,DO,Bus,21
2021,10,20,DX,7451,202109,DO,Bus,21
2023,1,660,DX,703,202212,DO,Bus,21
2014,3,201,DX,1371,201312,DO,Bus,21
2015,1,30,DX,14940,201412,DO,Bus,21
2022,9,234,DX,7413,202206,DO,Bus,21
2024,2,51,DX,17463,202312,DO,Bus,21
2022,1,120,DX,2135,202112,DO,Bus,21
2015,9,108,DX,18155,201506,DO,Bus,21
2017,1,577,DX,665,201612,PT,Bus,21
2020,9,45,DX,9512,202006,DO,Bus,21
2010,7,920,DX,2950,201006,DO,Bus,21
2014,3,246,DX,3135,201312,DO,Bus,21
2021,11,202,DX,186,202109,DO,Bus,21
2021,7,603,DX,6491,202106,PT,Bus,21
2016,11,233,DX,11846,201606,DO,Bus,21
2015,9,60,DX,18810,201506,DO,Bus,21
2022,1,125,DX,3438,202112,PT,Bus,21
2021,10,155,DX,883,202109,DO,Bus,21
2022,5,210,DX,10617,202202,DO,Bus,21
2012,2,76,DX,10872,201106,DO,Bus,21
2017,11,550,DX,1475,201706,DO,Bus,21
2012,11,70,DX,12229,201206,DO,Bus,21
2009,9,168,DX,289,200906,DO,Bus,21
2016,5,901,DX,25979,201601,DO,Bus,21
2015,8,757,DX,13091,201506,DO,Bus,21
2014,3,265,DX,1964,201312,DO,Bus,21
2014,5,258,DX,1951,201312,DO,Bus,21
2014,3,218,DX,1248,201312,PT,Bus,21
2016,5,780,DX,9095,201601,DO,Bus,21
2021,10,92,DX,4502,202109,DO,Bus,21
2019,3,237,DX,2042,201812,DO,Bus,21
2012,4,164,DX,7574,201106,DO,Bus,21
2012,1,55,DX,9567,201106,DO,Bus,21
2012,11,251,DX,8820,201206,DO,Bus,21
2013,3,910,DX,12482,201212,DO,Bus,21
2016,4,710,DX,7631,201601,DO,Bus,21
2016,9,233,DX,12561,201606,DO,Bus,21
2012,4,802,DX,149917.143,201106,DO,Rail,21
2016,11,802,DX,143692,201606,DO,Rail,21
2021,7,158,DX,1054,202106,DO,Bus,21
2014,9,53,DX,14873,201406,DO,Bus,21
2011,1,175,DX,679,201012,DO,Bus,21
2016,10,96,DX,1424,201606,PT,Bus,21
2017,1,2,DX,13760,201612,DO,Bus,21
2016,4,222,DX,1834,201601,DO,Bus,21
2021,10,804,DX,18053,202109,DO,Rail,21
2018,7,802,DX,135985,201806,DO,Rail,21
2015,9,487,DX,3872,201506,DO,Bus,21
2015,8,270,DX,2617,201506,PT,Bus,21
2022,9,266,DX,4733,202206,PT,Bus,21
2014,3,169,DX,2444,201312,DO,Bus,21
2011,10,20,DX,17409,201106,DO,Bus,21
2021,10,260,DX,10707,202109,DO,Bus,21
2011,4,803,DX,40586.052,201012,DO,Rail,21
2014,9,550,DX,1799,201406,DO,Bus,21
2014,3,83,DX,3745,201312,DO,Bus,21
2010,7,204,DX,27254,201006,DO,Bus,21
2020,8,92,DX,2320,202006,DO,Bus,21
2014,9,115,DX,17790,201406,DO,Bus,21
2014,3,804,DX,41389.648110792,201312,DO,Rail,21
2014,9,802,DX,153343.412915281,201406,DO,Rail,21
2024,3,205,DX,2878,202312,PT,Bus,21
2010,11,33,DX,11023,201006,DO,Bus,21
2015,8,236,DX,2457,201506,DO,Bus,21
2010,9,110,DX,9703,201006,DO,Bus,21
2016,4,163,DX,9663,201601,DO,Bus,21
2016,10,125,DX,5548,201606,PT,Bus,21
2015,1,55,DX,8282,201412,DO,Bus,21
2017,11,164,DX,6249,201706,DO,Bus,21
2014,3,84,DX,10833,201312,DO,Bus,21
2010,10,30,DX,12913,201006,DO,Bus,21
2022,9,78,DX,6201,202206,DO,Bus,21
2010,7,745,DX,7126,201006,DO,Bus,21
2016,4,156,DX,1566,201601,DO,Bus,21
2011,12,55,DX,9253,201106,DO,Bus,21
2011,12,128,DX,1075.42857142857,201106,PT,Bus,21
2017,11,217,DX,6250,201706,DO,Bus,21
2014,9,96,DX,1449,201406,PT,Bus,21
2011,10,81,DX,17161,201106,DO,Bus,21
2011,5,200,DX,15713,201012,DO,Bus,21
2014,5,236,DX,2897,201312,DO,Bus,21
2016,4,125,DX,5291,201601,PT,Bus,21
2014,9,76,DX,9678,201406,DO,Bus,21
2016,9,487,DX,3863,201606,DO,Bus,21
2022,5,662,DX,1108,202202,DO,Bus,21
2012,1,150,DX,11044,201106,DO,Bus,21
2009,8,233,DX,16763,200906,DO,Bus,21
2022,5,111,DX,11690,202202,DO,Bus,21
2016,11,154,DX,931,201606,DO,Bus,21
2019,3,106,DX,420,201812,DO,Bus,21
2013,3,780,DX,10808,201212,DO,Bus,21
2017,11,152,DX,10774,201706,DO,Bus,21
2009,1,750,DX,6382,200812,DO,Bus,21
2014,9,204,DX,25866,201406,DO,Bus,21
2016,5,803,DX,34913,201601,DO,Rail,21
2018,7,166,DX,5078,201806,DO,Bus,21
2015,8,803,DX,39491.9938725345,201506,DO,Rail,21
2012,1,183,DX,2290,201106,DO,Bus,21
2015,9,166,DX,6487,201506,DO,Bus,21
2016,10,218,DX,973,201606,PT,Bus,21
2022,9,177,DX,121,202206,PT,Bus,21
2011,11,14,DX,21458,201106,DO,Bus,21
2016,10,53,DX,12990,201606,DO,Bus,21
2011,11,607,DX,61.3809523809524,201106,PT,Bus,21
2021,7,167,DX,1178,202106,PT,Bus,21
2012,2,152,DX,13832,201106,DO,Bus,21
2011,1,246,DX,2989,201012,DO,Bus,21
2011,11,252,DX,2541,201106,DO,Bus,21
2011,10,234,DX,6900,201106,DO,Bus,21
2009,9,163,DX,11083,200906,DO,Bus,21
2009,8,111,DX,14261,200906,DO,Bus,21
2014,3,164,DX,7856,201312,DO,Bus,21
2022,1,182,DX,1719,202112,DO,Bus,21
2017,11,83,DX,2585,201706,DO,Bus,21
2017,11,710,DX,7277,201706,DO,Bus,21
2012,11,126,DX,227,201206,DO,Bus,21
2009,9,252,DX,3274,200906,DO,Bus,21
2009,1,446,DX,3944,200812,DO,Bus,21
2014,9,243,DX,2219,201406,DO,Bus,21
2021,11,801,DX,31909,202109,DO,Rail,21
2009,8,204,DX,28745,200906,DO,Bus,21
2014,5,18,DX,23903,201312,DO,Bus,21
2011,5,66,DX,20902,201012,DO,Bus,21
2014,5,60,DX,20818,201312,DO,Bus,21
2009,9,232,DX,5999.19047619048,200906,PT,Bus,21
2013,3,96,DX,1645.2380952381,201212,PT,Bus,21
2021,7,761,DX,4834,202106,DO,Bus,21
2011,5,163,DX,11143,201012,DO,Bus,21
2012,1,230,DX,4489,201106,DO,Bus,21
2009,8,714,DX,3729,200906,DO,Bus,21
2011,1,794,DX,4985,201012,DO,Bus,21
2012,4,460,DX,4562,201106,DO,Bus,21
2016,10,267,DX,3473,201606,DO,Bus,21
2010,11,344,DX,1910,201006,DO,Bus,21
2016,11,745,DX,5862,201606,DO,Bus,21
2014,5,202,DX,318,201312,DO,Bus,21
2024,2,16,DX,19223,202312,DO,Bus,21
2011,10,210,DX,15404,201106,DO,Bus,21
2024,3,20,DX,8972,202312,DO,Bus,21
2010,9,71,DX,1677,201006,DO,Bus,21
2016,4,111,DX,16982,201601,DO,Bus,21
2012,7,128,DX,1107.61904761905,201206,PT,Bus,21
2015,9,209,DX,1092,201506,DO,Bus,21
2011,10,128,DX,1314.95238095238,201106,PT,Bus,21
2016,4,246,DX,2637,201601,DO,Bus,21
2012,2,705,DX,8193,201106,DO,Bus,21
2023,1,910,DX,12424,202212,DO,Bus,21
2020,8,245,DX,701,202006,DO,Bus,21
2012,4,252,DX,2398,201106,DO,Bus,21
2022,9,111,DX,13382,202206,DO,Bus,21
2014,8,233,DX,13627,201406,DO,Bus,21
2019,3,130,DX,2384,201812,PT,Bus,21
2011,5,201,DX,1102,201012,DO,Bus,21
2011,1,155,DX,565,201012,DO,Bus,21
2010,10,714,DX,3541,201006,DO,Bus,21
2015,1,83,DX,2976,201412,DO,Bus,21
2023,1,164,DX,4248,202212,DO,Bus,21
2014,9,176,DX,1957,201406,DO,Bus,21
2022,5,266,DX,4408,202202,PT,Bus,21
2011,1,20,DX,16224,201012,DO,Bus,21
2011,1,128,DX,1219.2380952381,201012,PT,Bus,21
2015,1,20,DX,15480,201412,DO,Bus,21
2024,3,601,DX,418,202312,DO,Bus,21
2017,11,901,DX,24009,201706,DO,Bus,21
2015,1,62,DX,5094,201412,DO,Bus,21
2022,4,754,DX,11785,202202,DO,Bus,21
2010,9,117,DX,9905,201006,DO,Bus,21
2010,7,126,DX,182,201006,DO,Bus,21
2011,5,802,DX,144243.713,201012,DO,Rail,21
2016,2,256,DX,1993,201601,PT,Bus,21
2015,8,78,DX,10611,201506,DO,Bus,21
2012,11,76,DX,10174,201206,DO,Bus,21
2012,11,236,DX,2734,201206,DO,Bus,21
2022,1,207,DX,16978,202112,DO,Bus,21
2024,2,154,DX,511,202312,DO,Bus,21
2012,4,66,DX,19178,201106,DO,Bus,21
2022,4,218,DX,490,202202,PT,Bus,21
2009,8,121,DX,2629,200906,DO,Bus,21
2010,7,165,DX,8387,201006,DO,Bus,21
2010,7,750,DX,5648,201006,DO,Bus,21
2014,3,605,DX,2737,201312,PT,Bus,21
2019,3,158,DX,2067,201812,DO,Bus,21
2009,8,685,DX,518,200906,DO,Bus,21
2020,8,266,DX,2265,202006,PT,Bus,21
2012,1,254,DX,790.761904761905,201106,PT,Bus,21
2019,3,200,DX,11220,201812,DO,Bus,21
2022,4,96,DX,587,202202,PT,Bus,21
2014,9,665,DX,737,201406,DO,Bus,21
2022,5,244,DX,1464,202202,DO,Bus,21
2023,1,60,DX,12553,202212,DO,Bus,21
2009,8,603,DX,5190.52380952381,200906,PT,Bus,21
2020,9,685,DX,134,202006,DO,Bus,21
2013,3,70,DX,12942,201212,DO,Bus,21
2017,1,268,DX,1613,201612,DO,Bus,21
2014,9,232,DX,7139,201406,PT,Bus,21
2016,2,156,DX,1546,201601,DO,Bus,21
2018,11,460,DX,4601,201806,DO,Bus,21
2011,5,607,DX,65.6190476190476,201012,PT,Bus,21
2016,10,16,DX,22664,201606,DO,Bus,21
2016,11,128,DX,1236,201606,PT,Bus,21
2014,9,128,DX,1715,201406,PT,Bus,21
2012,2,202,DX,286,201106,DO,Bus,21
2014,3,612,DX,1665,201312,DO,Bus,21
2016,10,155,DX,1582,201606,DO,Bus,21
2014,3,910,DX,14143,201312,DO,Bus,21
2009,1,14,DX,16026,200812,DO,Bus,21
2010,11,910,DX,7522,201006,DO,Bus,21
2015,1,910,DX,14441,201412,DO,Bus,21
2012,4,176,DX,1940,201106,DO,Bus,21
2016,4,243,DX,1877,201601,DO,Bus,21
2011,12,802,DX,141680.001,201106,DO,Rail,21
2011,10,55,DX,10308,201106,DO,Bus,21
2016,2,222,DX,1860,201601,DO,Bus,21
2018,7,252,DX,1621,201806,DO,Bus,21
2021,10,266,DX,4464,202109,PT,Bus,21
2022,1,167,DX,1085,202112,PT,Bus,21
2019,3,705,DX,5397,201812,DO,Bus,21
2011,4,720,DX,41004,201012,DO,Bus,21
2011,5,84,DX,10481,201012,DO,Bus,21
2014,9,292,DX,2689,201406,DO,Bus,21
2009,1,18,DX,26589,200812,DO,Bus,21
2011,4,209,DX,1001,201012,DO,Bus,21
2015,9,625,DX,366,201506,PT,Bus,21
2018,7,733,DX,8050,201806,DO,Bus,21
2023,1,550,DX,256,202212,DO,Bus,21
2011,9,239,DX,1152,201106,DO,Bus,21
2018,7,164,DX,5317,201806,DO,Bus,21
2010,9,200,DX,15090,201006,DO,Bus,21
2012,1,117,DX,9442,201106,DO,Bus,21
2016,10,14,DX,18651,201606,DO,Bus,21
2018,11,607,DX,53,201806,PT,Bus,21
2011,4,202,DX,256,201012,DO,Bus,21
2011,9,35,DX,13627,201106,DO,Bus,21
2021,7,662,DX,1228,202106,DO,Bus,21
2011,5,14,DX,21842,201012,DO,Bus,21
2013,3,158,DX,2535,201212,DO,Bus,21
2024,3,90,DX,5904,202312,DO,Bus,21
2012,1,78,DX,11551,201106,DO,Bus,21
2011,11,83,DX,3996,201106,DO,Bus,21
2016,2,70,DX,11298,201601,DO,Bus,21
2011,1,260,DX,12101,201012,DO,Bus,21
2014,3,550,DX,1777,201312,DO,Bus,21
2017,1,460,DX,4305,201612,DO,Bus,21
2009,8,753,DX,3042,200906,DO,Bus,21
2011,5,267,DX,4209,201012,DO,Bus,21
2022,1,150,DX,1599,202112,DO,Bus,21
2015,9,20,DX,16636,201506,DO,Bus,21
2021,11,222,DX,858,202109,DO,Bus,21
2016,2,20,DX,15965,201601,DO,Bus,21
2015,1,60,DX,18603,201412,DO,Bus,21
2011,12,770,DX,8445,201106,DO,Bus,21
2010,10,108,DX,16586,201006,DO,Bus,21
2010,9,761,DX,11586,201006,DO,Bus,21
2020,9,120,DX,1541,202006,DO,Bus,21
2017,11,163,DX,9320,201706,DO,Bus,21
2021,7,128,DX,667,202106,PT,Bus,21
2021,7,690,DX,1271,202106,DO,Bus,21
2016,9,102,DX,2657,201606,DO,Bus,21
2016,10,164,DX,6687,201606,DO,Bus,21
2012,1,685,DX,438,201106,DO,Bus,21
2016,5,751,DX,5533,201601,DO,Bus,21
2017,1,246,DX,2166,201612,DO,Bus,21
2022,5,45,DX,12466,202202,DO,Bus,21
2017,11,53,DX,11782,201706,DO,Bus,21
2011,4,210,DX,14127,201012,DO,Bus,21
2012,7,577,DX,763.809523809524,201206,PT,Bus,21
2014,5,126,DX,257,201312,DO,Bus,21
2022,11,62,DX,2660,202210,DO,Bus,21
2010,10,728,DX,8323,201006,DO,Bus,21
2024,3,92,DX,5877,202312,DO,Bus,21
2015,8,14,DX,19597,201506,DO,Bus,21
2009,9,217,DX,11016,200906,DO,Bus,21
2015,9,10,DX,13606,201506,DO,Bus,21
2019,3,534,DX,1439,201812,DO,Bus,21
2011,4,166,DX,7299,201012,DO,Bus,21
2009,1,534,DX,2612,200812,DO,Bus,21
2011,12,236,DX,2347,201106,DO,Bus,21
2016,2,265,DX,1665,201601,DO,Bus,21
2010,11,66,DX,20166,201006,DO,Bus,21
2009,1,126,DX,194,200812,DO,Bus,21
2012,4,125,DX,4621.61904761905,201106,PT,Bus,21
2022,4,910,DX,12093,202202,DO,Bus,21
2011,9,620,DX,304,201106,DO,Bus,21
2024,2,158,DX,1274,202312,DO,Bus,21
2014,8,28,DX,12900,201406,DO,Bus,21
2022,5,30,DX,8831,202202,DO,Bus,21
2012,1,2,DX,18813,201106,DO,Bus,21
2011,11,161,DX,1438,201106,DO,Bus,21
2014,3,267,DX,3887,201312,DO,Bus,21
2016,10,710,DX,8497,201606,DO,Bus,21
2016,2,292,DX,2425,201601,DO,Bus,21
2015,1,550,DX,1611,201412,DO,Bus,21
2009,1,612,DX,2086,200812,DO,Bus,21
2014,5,81,DX,18519,201312,DO,Bus,21
2012,4,217,DX,7861,201106,DO,Bus,21
2022,4,206,DX,6653,202202,DO,Bus,21
